,name,books,world,groups,universe
843,Holly Winseed (Provisional Replica),The Original,Earth (The Original),NA,Independent
844,Hong,Skyward (series),Detritus,NA,Cytoverse
845,Hopefinder,Warbreaker,Nalthis,NA,Cosmere
846,Horace,Snapshot,Earth (Snapshot),NA,Independent
847,Horen,Elantris,Sel,NA,Cosmere
848,Horinar,The Stormlight Archive,Roshar,"Kholin army,Dalinar's elites",Cosmere
849,Hoselle,Mistborn Era 1,Scadrial,NA,Cosmere
850,Howards,The Rithmatist,Earth (Rithmatist),NA,Independent
851,Hrathen,Elantris,Sel,NA,Cosmere
852,Hrathen's seon,Elantris,Sel,NA,Cosmere
853,Hrdalm,The Stormlight Archive,Roshar,NA,Cosmere
854,Hrud,Mistborn Era 1,Scadrial,Camon's crew,Cosmere
855,Hudiya,Skyward (series),Detritus,NA,Cytoverse
856,Hughes Entrone,Mistborn Era 2,Scadrial,NA,Cosmere
857,Huio,The Stormlight Archive,Roshar,"Knights Radiant,Windrunner,Bridge Four,Kholin army",Cosmere
858,Huisi,The Stormlight Archive,Roshar,NA,Cosmere
859,HunFoor,Mistborn Era 1,Scadrial,NA,Cosmere
860,Huqin,The Stormlight Archive,Roshar,Huqin's crew,Cosmere
861,Hurli,The Emperor's Soul,Sel,NA,Cosmere
862,Husal,The Stormlight Archive,Roshar,Council of Five,Cosmere
863,Iadon,Elantris,Sel,NA,Cosmere
864,Ialai Sadeas,The Stormlight Archive,Roshar,Sons of Honor,Cosmere
865,Icer,Dreamer,Earth (Dreamer),NA,Independent
866,Ico,The Stormlight Archive,Roshar,NA,Cosmere
867,Ico's father,The Stormlight Archive,Roshar,NA,Cosmere
868,Idan,Elantris,Sel,NA,Cosmere
869,Idani,The Stormlight Archive,Roshar,NA,Cosmere
870,Idashwy,Mistborn Era 2,Scadrial,NA,Cosmere
871,Ides Hatred,The Reckoners,Earth (Reckoners),NA,Independent
872,Ido,Skyward (series),,NA,Cytoverse
873,Idolir,The Stormlight Archive,Roshar,"Bridge Four,Sadeas army",Cosmere
874,Idotris,The Hope of Elantris,Sel,NA,Cosmere
875,Idren Seeris,Mistborn Era 1,Scadrial,NA,Cosmere
876,Idrin,The Stormlight Archive,Roshar,"Kholin army,King's Guard",Cosmere
877,Ien,Elantris,Sel,NA,Cosmere
878,Iglom,Skyward (series),Detritus,NA,Cytoverse
879,Ignacio,Legion,Earth (Legion),Aspect,Independent
880,Ilamar,The Stormlight Archive,Roshar,Kholin army,Cosmere
881,Illarion,Dark One,Earth (Dark One),NA,Independent
882,Inabar,The Stormlight Archive,Roshar,NA,Cosmere
883,Inadara,The Stormlight Archive,Roshar,NA,Cosmere
884,Infinity,Firefight,Earth (Reckoners),NA,Independent
885,Inhanna,Warbreaker,Nalthis,NA,Cosmere
886,Inin,Skyward (series),ReDawn,NA,Cytoverse
887,Inis Julien,Mistborn Era 2,Scadrial,NA,Cosmere
888,Inkima,The Stormlight Archive,Roshar,NA,Cosmere
889,Inkspren shopkeeper,The Stormlight Archive,Roshar,NA,Cosmere
890,Inkwell (Epic),The Reckoners,Earth (Reckoners),NA,Independent
891,Innia,The Stormlight Archive,Roshar,NA,Cosmere
892,Insah,The Stormlight Archive,Roshar,NA,Independent
893,Inshallah,The Reckoners,Earth (Reckoners),NA,Independent
894,Instabam,Firefight,Earth (Reckoners),NA,Independent
895,Insulation,The Reckoners,Earth (Reckoners),NA,Independent
896,Invia,The Stormlight Archive,Roshar,NA,Cosmere
897,Invocation,The Reckoners,Earth (Reckoners),NA,Independent
898,Irich,Mistborn Era 2,Scadrial,Set,Cosmere
899,Isabaline Frellia,Mistborn Era 2,Scadrial,NA,Cosmere
900,Isabi,The Stormlight Archive,Roshar,NA,Cosmere
901,Isadan Sao,Elantris,Sel,NA,Cosmere
902,Isan,The Stormlight Archive,Roshar,NA,Cosmere
903,Isasik Shulin,The Stormlight Archive,Roshar,NA,Cosmere
904,Ishal,The Stormlight Archive,Roshar,NA,Cosmere
905,Ishar,The Stormlight Archive,Roshar,NA,Cosmere
906,Ishikk,The Stormlight Archive,Roshar,NA,Cosmere
907,Ishnah,The Stormlight Archive,Roshar,"Knights Radiant,Lightweavers,Unseen Court,[2]",Cosmere
908,Isom,The Stormlight Archive,Roshar,"Knights Radiant,Lightweavers,Unseen Court,[1]",Cosmere
909,Istow,The Stormlight Archive,Roshar,NA,Cosmere
910,Ithi,The Stormlight Archive,Roshar,NA,Cosmere
911,Ivanar Ruthar,The Stormlight Archive,Roshar,NA,Cosmere
912,Ivans,Legion,Earth (Legion),Aspect,Independent
913,Ivis,The Stormlight Archive,Roshar,NA,Cosmere
914,Ivory,The Stormlight Archive,Roshar,NA,Cosmere
915,Ivy,Legion,Earth (Legion),Aspect,Independent
916,Ixil,The Stormlight Archive,Roshar,NA,Cosmere
917,Ixsix,The Stormlight Archive,Roshar,NA,Cosmere
918,Iyalid,The Stormlight Archive,Roshar,NA,Cosmere
919,Iyatil,The Stormlight Archive,Roshar,"Ghostbloods,Seventeenth Shard,[2]",Cosmere
920,J.C.,Legion,Earth (Legion),Aspect,Independent
921,Jackstom Harms,Mistborn Era 2,Scadrial,NA,Cosmere
922,Jacques Cartier,The Rithmatist,Earth (Rithmatist),NA,Independent
923,Jadendwyl,Mistborn Era 1,Scadrial,NA,Cosmere
924,Jager,Skyward (series),Detritus,NA,Cytoverse
925,Jak,Mistborn Era 2,Scadrial,NA,Cosmere
926,Jakamav,The Stormlight Archive,Roshar,Roion army,Cosmere
927,Jaks,The Stormlight Archive,Roshar,"Bridge Four,Sadeas army",Cosmere
928,Jal Mala,The Stormlight Archive,Roshar,NA,Cosmere
929,Jali,The Stormlight Archive,Roshar,NA,Cosmere
930,Jalla,Elantris,Sel,NA,Cosmere
931,Jam (Hearthstone),The Stormlight Archive,Roshar,NA,Cosmere
932,Jam (caravaneer),The Stormlight Archive,Roshar,NA,Cosmere
933,James Hovell,The Rithmatist,Earth (Rithmatist),NA,Independent
934,Jammi Walls,Mistborn Era 2,Scadrial,NA,Cosmere
935,Jamms,Mistborn Era 2,Scadrial,NA,Cosmere
936,Jan Ven,Mistborn Era 2,Scadrial,NA,Cosmere
937,Janala Lustow,The Stormlight Archive,Roshar,NA,Cosmere
938,Janarle,Mistborn Era 1,Scadrial,Venture army,Cosmere
939,Janie,Alcatraz Versus the Evil Librarians,Earth (Alcatraz),NA,Independent
940,Jarel,The Stormlight Archive,Roshar,NA,Cosmere
941,Jarloux,Mistborn Era 1,Scadrial,NA,Cosmere
942,Jarrington,Mistborn Era 2,Scadrial,NA,Cosmere
943,Jasalai,The Stormlight Archive,Roshar,Kholin army,Cosmere
944,Jasmine,Perfect State,Maltese,NA,"Wode,States"
945,Jasnah Kholin,The Stormlight Archive,Roshar,"Knights Radiant,Elsecallers,Veristitalian",Cosmere
946,Jason Write,"Defending Elysium,Skyward (series)",Earth (Skyward),Phone Company,Cytoverse
947,Jasson,Alcatraz Versus the Evil Librarians,Earth (Alcatraz),NA,Independent
948,Jasten,Mistborn Era 1,Scadrial,Luthadel Assembly,Cosmere
949,Jastes Lekal,Mistborn Era 1,Scadrial,NA,Cosmere
950,Jaston,Mistborn Era 1,Scadrial,Venture army,Cosmere
951,Javie,Mistborn Era 2,Scadrial,NA,Cosmere
952,Javier DaLeuc,Mistborn Era 2,Scadrial,NA,Cosmere
953,Javies,Mistborn Era 2,Scadrial,NA,Cosmere
954,Javih,The Stormlight Archive,Roshar,Kholin army,Cosmere
955,Jax (Reckoners),The Reckoners,Earth (Reckoners),Reckoners,Independent
956,Jax (Skyward),Skyward (series),Detritus,NA,Cytoverse
957,Jaxlim,The Stormlight Archive,Roshar,NA,Cosmere
958,Jaxy,Mistborn Era 2,Scadrial,NA,Cosmere
959,Jayla Ruthar,The Stormlight Archive,Roshar,NA,Cosmere
960,Jeber,The Stormlight Archive,Roshar,NA,Cosmere
961,Jed,Mistborn Era 1,Scadrial,NA,Cosmere
962,Jedal,Mistborn Era 1,Scadrial,NA,Cosmere
963,Jedan,White Sand,Taldain,NA,Cosmere
964,Jeffy,Mistborn Era 2,Scadrial,NA,Cosmere
965,Jeksonofnone,The Stormlight Archive,Roshar,NA,Cosmere
966,Jell,Mistborn Era 1,Scadrial,NA,Cosmere
967,Jendel,Mistborn Era 2,Scadrial,NA,Cosmere
968,Jendellah,Mistborn Era 1,Scadrial,NA,Cosmere
969,Jenet,The Stormlight Archive,Roshar,NA,Cosmere
970,Jenin,The Stormlight Archive,Roshar,Dalinar's elites,Cosmere
971,Jennid,Mistborn Era 2,Scadrial,NA,Cosmere
972,Jenny Zhang,Legion,Earth (Legion),Aspect,Independent
973,Jephs Daring,The Rithmatist,Earth (Rithmatist),NA,Independent
974,Jerick,Dragonsteel Prime,Yolen,NA,Independent
975,Jerono,The Stormlight Archive,Roshar,NA,Cosmere
976,Jeshishin,The Stormlight Archive,Roshar,NA,Cosmere
977,Jeshua Weight,Skyward (series),Detritus,NA,Cytoverse
978,Jess,Mistborn Era 1,Scadrial,NA,Cosmere
979,Jest,The Stormlight Archive,Roshar,NA,Cosmere
980,Jevena,The Stormlight Archive,Roshar,NA,Cosmere
981,Jewels,Warbreaker,Nalthis,Denth's crew,Cosmere
982,Jezrien,The Stormlight Archive,Roshar,NA,Cosmere
983,Jial,The Stormlight Archive,Roshar,NA,Cosmere
984,Jin,The Stormlight Archive,Roshar,Ghostbloods,Cosmere
985,Jix,The Stormlight Archive,Roshar,NA,Cosmere
986,Jlan,Warbreaker,Nalthis,NA,Cosmere
987,Joan Sheldon,Alcatraz Versus the Evil Librarians,Earth (Alcatraz),NA,Independent
988,Jochi,The Stormlight Archive,Roshar,"Veristitalian,[1]",Cosmere
989,Joel Saxon,The Rithmatist,Earth (Rithmatist),NA,Independent
990,John,The Rithmatist,Earth (Rithmatist),NA,Independent
991,Johnst,Mistborn Era 2,Scadrial,NA,Cosmere
992,Jom,The Stormlight Archive,Roshar,NA,Cosmere
993,Jon Acron,White Sand,Taldain,"Dynasty,[1]",Cosmere
994,Jon Deadfinger,Mistborn Era 2,Scadrial,NA,Cosmere
995,Jonathan Gentry,The Original,Earth (The Original),NA,Independent
996,Jonathan Phaedrus,The Reckoners,Earth (Reckoners),Reckoners,Independent
997,Jone,Mistborn Era 2,Scadrial,NA,Cosmere
998,Jonnes,Mistborn Era 2,Scadrial,NA,Cosmere
999,Jor,The Stormlight Archive,Roshar,NA,Cosmere
1000,Jordis,Mistborn Era 2,Scadrial,NA,Cosmere
1001,Joret,The Stormlight Archive,Roshar,Skybreaker,Cosmere
1002,Jorgen Weight,Skyward (series),Detritus,"DDF,Skyward Flight,Riptide Flight",Cytoverse
1003,Jori,Firefight,Earth (Reckoners),Reckoners,Independent
1004,Jorna,The Stormlight Archive,Roshar,Amaram's army,Cosmere
1005,Jors,Skyward (series),Detritus,NA,Cytoverse
1006,Joseph,The Rithmatist,Earth (Rithmatist),NA,Independent
1007,Joshin Yomen,Mistborn Era 2,Scadrial,NA,Cosmere
1008,Joshor,The Stormlight Archive,Roshar,Diagram,Cosmere
1009,Jost,The Stormlight Archive,Roshar,Amaram's army,Cosmere
1010,Jub Hending,Mistborn Era 2,Scadrial,NA,Cosmere
1011,Judy Ivans,Skyward (series),Detritus,DDF,Cytoverse
1012,Junmi,Skyward (series),Detritus,NA,Cytoverse
1013,Juno,Skyward (series),Evershore,NA,Cytoverse
1014,Jushu Davar,The Stormlight Archive,Roshar,NA,Cosmere
1015,Justin,Legion,Earth (Legion),Aspect,Independent
1016,Ka,The Stormlight Archive,Roshar,NA,Cosmere
1017,Kabsal,The Stormlight Archive,Roshar,"Ghostbloods,Devotary of Insight",Cosmere
1018,Kadash,The Stormlight Archive,Roshar,"Dalinar's elites,Kholin army",Cosmere
1019,Kahar,Elantris,Sel,NA,Cosmere
1020,Kai-garnis,The Stormlight Archive,Roshar,NA,Cosmere
1021,Kairominas,Perfect State,Alornia,NA,"Wode,States"
1022,Kaise,"Elantris,Mistborn Era 2",Sel,"Ghostbloods,[2]",Cosmere
1023,Kaladin,The Stormlight Archive,Roshar,"Knights Radiant,Windrunners,Bridge Four,Kholin army,Amaram's army,Sadeas army,Kaladin's squad,Takers,Kholinar Wall Guard",Cosmere
1024,Kalak,The Stormlight Archive,Roshar,Sons of Honor,Cosmere
1025,Kalami,The Stormlight Archive,Roshar,NA,Cosmere
1026,Kalana,The Stormlight Archive,Roshar,NA,Cosmere
1027,Kalanor,The Stormlight Archive,Roshar,NA,Cosmere
1028,Kale Tekiel,Mistborn Era 1,Scadrial,NA,Cosmere
1029,Kalishor,The Stormlight Archive,Roshar,NA,Cosmere
1030,Kalyani,Legion,Earth (Legion),Aspect,Independent
1031,Kamali,Alcatraz Versus the Evil Librarians,Earth (Alcatraz),NA,Independent
1032,Kamiko,Alcatraz Versus the Evil Librarians,Earth (Alcatraz),NA,Independent
1033,Kangchenjunga Sarekgjakka,Alcatraz Versus the Evil Librarians,Earth (Alcatraz),NA,Independent
1034,KanPaar,Mistborn Era 1,Scadrial,NA,Cosmere
1035,Kar (Scadrial),Mistborn Era 1,Scadrial,NA,Cosmere
1036,Kar (Taldain),White Sand,Taldain,Mason's Guild,Cosmere
1037,Kara,The Stormlight Archive,Roshar,"Bridge Four,Kholin army",Cosmere
1038,Karata,Elantris,Sel,NA,Cosmere
1039,Karavaniga,The Stormlight Archive,Roshar,NA,Cosmere
1040,Kareien,Mistborn Era 1,Scadrial,NA,Cosmere
1041,Karith Marvudi,Heuristic Algorithm and Reasoning Response Engine,,NA,Independent
1042,Karkun,Dark One,Mirandus,NA,Independent
1043,Karm,The Stormlight Archive,Roshar,NA,Cosmere
1044,Kasimarlix,The Stormlight Archive,Roshar,NA,Cosmere
1045,Katarotam,The Stormlight Archive,Roshar,NA,Cosmere
1046,Kath,Mistborn Era 2,Scadrial,NA,Cosmere
1047,Kauri,Skyward (series),Evershore,Flowers of Night's Last Kiss Flight,Cytoverse
1048,Kaves Kholin,The Stormlight Archive,Roshar,NA,Cosmere
1049,Kaza,The Stormlight Archive,Roshar,NA,Cosmere
1050,Kazan Smedry,Alcatraz Versus the Evil Librarians,Earth (Alcatraz),NA,Independent
1051,Kazilah,The Stormlight Archive,Roshar,NA,Cosmere
1052,Kdralk,The Stormlight Archive,Roshar,NA,Cosmere
1053,Ked,The Stormlight Archive,Roshar,NA,Cosmere
1054,Kef'ha,Stormlight Archive,Roshar,NA,Cosmere
1055,Kel,Skyward (series),Detritus,DDF,Cytoverse
1056,Kelerand,The Stormlight Archive,Roshar,NA,Cosmere
1057,Kelesina Shores,Mistborn Era 2,Scadrial,NA,Cosmere
1058,Kelesina Shores's steward,Mistborn Era 2,Scadrial,NA,Cosmere
1059,Kelin,Skyward (series),Detritus,DDF,Cytoverse
1060,Kellen,Mistborn Era 2,Scadrial,NA,Cosmere
1061,Kelsier,Mistborn,Scadrial,"Kelsier's crew,Ghostbloods",Cosmere
1062,Kelsier's mother,Mistborn Era 1,Scadrial,NA,Cosmere
1063,Ken Harris,Defending Elysium,Evensong,NA,Cytoverse
1064,Kenton,White Sand,Taldain,"Diem,Taishin",Cosmere
1065,Kenton's mother,White Sand,Taldain,NA,Cosmere
1066,Kern,Firstborn,,NA,Independent
1067,Keseg,Elantris,Sel,NA,Cosmere
1068,Keshdel,White Sand,Taldain,NA,Cosmere
1069,Kessi,Mistborn Era 2,Scadrial,NA,Cosmere
1070,KeSun,Mistborn Era 2,Scadrial,NA,Cosmere
1071,Ketol,Elantris,Sel,NA,Cosmere
1072,Kevoux,Mistborn Era 1,Scadrial,NA,Cosmere
1073,Khav,The Stormlight Archive,Roshar,NA,Cosmere
1074,Khem,The Stormlight Archive,Roshar,NA,Cosmere
1075,Khen,The Stormlight Archive,Roshar,NA,Cosmere
1076,Kheni,The Stormlight Archive,Roshar,NA,Cosmere
1077,Khrissalla,"White Sand,Mistborn",Taldain,NA,Cosmere
1078,Khyan,White Sand,Taldain,Mason's Guild,Cosmere
1079,Ki,The Stormlight Archive,Roshar,"Knights Radiant,Skybreakers",Cosmere
1080,Kiin,Elantris,Sel,NA,Cosmere
1081,Kilimanjaro,Alcatraz Versus the Evil Librarians,Earth (Alcatraz),"Librarian,Scrivener's Bones",Independent
1082,Kim,The Rithmatist,Earth (Rithmatist),NA,Independent
1083,Kimmalyn,Skyward (series),Detritus,NA,Cytoverse
1084,Kinaler,Mistborn Era 1,Scadrial,Luthadel Assembly,Cosmere
1085,Kindwinds,Warbreaker,Nalthis,NA,Cosmere
1086,Kip,Mistborn Era 2,Scadrial,NA,Cosmere
1087,Klade,The Stormlight Archive,Roshar,Council of Five,Cosmere
1088,Klisn,The Stormlight Archive,Roshar,NA,Cosmere
1089,Kliss,Mistborn Era 1,Scadrial,NA,Cosmere
1090,Kmakl,The Stormlight Archive,Roshar,NA,Cosmere
1091,Kmakra,The Stormlight Archive,Roshar,NA,Cosmere
1092,Knoxx,Firefight,Earth (Reckoners),NA,Independent
1093,Koen,The Stormlight Archive,Roshar,"Knights Radiant,Windrunner,Cobalt Guard,Bridge Four,Kholin army",Cosmere
1094,Kokerlii,Sixth of the Dusk,First of the Sun,NA,Cosmere
1095,Koolf,The Stormlight Archive,Roshar,"Bridge Four,Sadeas army",Cosmere
1096,Koorm,The Stormlight Archive,Roshar,"Bridge Four,Sadeas army",Cosmere
1097,Korabet,The Stormlight Archive,Roshar,Amaram's army,Cosmere
1098,Korater,The Stormlight Archive,Roshar,"Amaram's army,Kaladin's squad",Cosmere
1099,Korath,Elantris,Sel,NA,Cosmere
1100,Koravellium Avast,The Stormlight Archive,Roshar,NA,Cosmere
1101,Kraisis,Dark One,Mirandus,NA,Independent
1102,Krent,Mistborn Era 2,Scadrial,NA,Cosmere
1103,Kristir,The Stormlight Archive,Roshar,NA,Cosmere
1104,Kryst,The Stormlight Archive,Roshar,NA,Cosmere
1105,Kstled,The Stormlight Archive,Roshar,NA,Cosmere
1106,Kuma'tiki,The Stormlight Archive,Roshar,NA,Cosmere
1107,Kuno,The Stormlight Archive,Roshar,NA,Cosmere
1108,Kurdon,Mistborn Era 1,Scadrial,NA,Cosmere
1109,Kurshina,The Emperor's Soul,Sel,NA,Cosmere
1110,Kusiri,The Stormlight Archive,Roshar,NA,Cosmere
1111,Kwaan,Mistborn Era 1,Scadrial,Worldbringers,Cosmere
1112,Kwashim,Mistborn Era 2,Scadrial,NA,Cosmere
1113,Kwati,The Stormlight Archive,Roshar,NA,Cosmere
1114,Kyle Walters,Legion: Lies of the Beholder,Earth (Legion),NA,Independent
1115,Kylrm,The Stormlight Archive,Roshar,NA,Cosmere
1116,Kyndlip Ternavyl,Mistborn Era 2,Scadrial,NA,Cosmere
1117,Kyril,The Stormlight Archive,Roshar,NA,Cosmere
1118,Ladent,The Stormlight Archive,Roshar,NA,Cosmere
1119,Lady Alami,The Stormlight Archive,Roshar,NA,Cosmere
1120,Lady Faula,Mistborn Era 2,Scadrial,NA,Cosmere
1121,Lady Gardre,Mistborn Era 2,Scadrial,Set,Cosmere
1122,Lady Lavont,Mistborn Era 2,Scadrial,NA,Cosmere
1123,Lady Lentin,Mistborn Era 2,Scadrial,NA,Cosmere
1124,Lady Mulgrave,Mistborn Era 2,Scadrial,NA,Cosmere
1125,Lady Patresen,Mistborn Era 1,Scadrial,NA,Cosmere
1126,Lady ZoBell,Mistborn Era 2,Scadrial,NA,Cosmere
1127,Lahar,The Stormlight Archive,Roshar,NA,Cosmere
1128,Laird,Mistborn Era 1,Scadrial,NA,Cosmere
1129,Lakin,The Stormlight Archive,Roshar,NA,Cosmere
1130,Lalai,The Stormlight Archive,Roshar,NA,Cosmere
1131,Lamaril,The Stormlight Archive,Roshar,Sadeas army,Cosmere
1132,Lamentation Winebare,Shadows for Silence,Threnody,NA,Cosmere
1133,Lanacin,The Stormlight Archive,Roshar,NA,Cosmere
1134,Landras,Dark One,Mirandus,NA,Independent
1135,Landre,Mistborn Era 2,Scadrial,NA,Cosmere
1136,Langor,The Rithmatist,Earth (Rithmatist),NA,Independent
1137,Languish,The Reckoners,Earth (Reckoners),NA,Independent
1138,Lani,The Stormlight Archive,Roshar,NA,Cosmere
1139,Lanna Write,Defending Elysium,Earth (Skyward),Phone Company,Cytoverse
1140,Laral Roshone,The Stormlight Archive,Roshar,NA,Cosmere
1141,Laran,The Stormlight Archive,Roshar,"Knights Radiant,Windrunner,Bridge Four,Kholin army",Cosmere
1142,Laresh,The Stormlight Archive,Roshar,Sadeas army,Cosmere
1143,Larn (Roshar),The Stormlight Archive,Roshar,"Amaram's army,Kaladin's squad",Cosmere
1144,Larn (Scadrial),Mistborn Era 1,Scadrial,NA,Cosmere
1145,Larskpur,Mistborn Era 2,Scadrial,NA,Cosmere
1146,Lawkins,Skyward (series),Detritus,DDF,Cytoverse
1147,Layton,The Rithmatist,Earth (Rithmatist),NA,Independent
1148,Leavenworth Smedry,Alcatraz Versus the Evil Librarians,Earth (Alcatraz),NA,Independent
1149,Ledder,The Stormlight Archive,Roshar,NA,Cosmere
1150,Lee,The Reckoners,Earth (Reckoners),Delta Squadron,Independent
1151,Leef,The Stormlight Archive,Roshar,NA,Cosmere
1152,LeeMar,Mistborn Era 2,Scadrial,NA,Cosmere
1153,Leiko,Skyward (series),Detritus,NA,Cytoverse
1154,Leland Libel,The Rithmatist,Earth (Rithmatist),NA,Independent
1155,Lellin,Mistborn Era 1,Scadrial,NA,Cosmere
1156,Lemex,Warbreaker,Nalthis,NA,Cosmere
1157,Lemex's nurse,Warbreaker,Nalthis,NA,Cosmere
1158,Lenehe,Elantris,Sel,NA,Cosmere
1159,Leonard,Dark One,Earth (Dark One),NA,Independent
1160,Leras,Mistborn Era 1,Scadrial,"Kelsier's crew,[3]",Cosmere
1161,Leroy,Legion,Earth (Legion),Aspect,Independent
1162,Lesan Calour,Mistborn Era 2,Scadrial,NA,Cosmere
1163,Leshwi,The Stormlight Archive,Roshar,NA,Cosmere
1164,Letmere,Perfect State,,NA,"Wode,States"
1165,Leven,The Stormlight Archive,Roshar,NA,Cosmere
1166,Levrin,The Stormlight Archive,Roshar,NA,Cosmere
1167,Leyten,The Stormlight Archive,Roshar,"Knights Radiant,Windrunner,Bridge Four,Kholin army,Sadeas army",Cosmere
1168,Lezian,The Stormlight Archive,Roshar,NA,Cosmere
1169,Lhan,The Stormlight Archive,Roshar,Cult of Moments,Cosmere
1170,Lhanin,The Stormlight Archive,Roshar,NA,Cosmere
1171,Libby Smedry,Alcatraz Versus the Evil Librarians,Earth (Alcatraz),NA,Independent
1172,Lichfather,Perfect State,Alornia,NA,"Wode,States"
1173,Lieutenant Ahlstrom,Mistborn Era 2,Scadrial,NA,Cosmere
1174,Lifeblesser,Warbreaker,Nalthis,NA,Cosmere
1175,Lifeforce,The Reckoners,Earth (Reckoners),NA,Independent
1176,Lifeline,The Reckoners,Earth (Reckoners),NA,Independent
1177,Lift,The Stormlight Archive,Roshar,"Huqin's crew,Knights Radiant,Edgedancers",Cosmere
1178,Liganor,The Stormlight Archive,Roshar,NA,Cosmere
1179,Lightning,The Reckoners,Earth (Reckoners),NA,Independent
1180,Lilly Whiting,The Rithmatist,Earth (Rithmatist),NA,Independent
1181,Lily,Mistborn Era 2,Scadrial,NA,Cosmere
1182,Limmi,Mistborn Era 2,Scadrial,NA,Cosmere
1183,Lin Davar,The Stormlight Archive,Roshar,Ghostbloods,Cosmere
1184,Lin Yang-Tanasin,Dark One,Earth (Dark One),NA,Independent
1185,Liquidyne,The Reckoners,Earth (Reckoners),NA,Independent
1186,Lirin,The Stormlight Archive,Roshar,NA,Cosmere
1187,Liss,The Stormlight Archive,Roshar,NA,Cosmere
1188,Litima,The Stormlight Archive,Roshar,NA,Cosmere
1189,Liza,Legion: Skin Deep,Earth (Legion),NA,Independent
1190,Llarimar,Warbreaker,Nalthis,NA,Cosmere
1191,Loaten,White Sand,Taldain,NA,Cosmere
1192,Loats,The Stormlight Archive,Roshar,NA,Cosmere
1193,Lokkall,White Sand,Taldain,"Taishin,The Helm",Cosmere
1194,Lokmlen,White Sand,Taldain,NA,Cosmere
1195,Lolan,Warbreaker,Nalthis,NA,Cosmere
1196,Lomard,The Stormlight Archive,Roshar,NA,Cosmere
1197,Lond,The Stormlight Archive,Roshar,NA,Cosmere
1198,Longbrow,The Stormlight Archive,Roshar,NA,Cosmere
1199,Longshadow,The Stormlight Archive,Roshar,NA,Cosmere
1200,Longshot,Dreamer,Earth (Dreamer),NA,Independent
1201,Loophole,Calamity,Earth (Reckoners),NA,Independent
1202,Lopen,The Stormlight Archive,Roshar,"Knights Radiant,Windrunner,Bridge Four,Sadeas army,Kholin army",Cosmere
1203,Lopen's mother,The Stormlight Archive,Roshar,NA,Cosmere
1204,Loradar Vamah,The Stormlight Archive,Roshar,"Sons of Honor,[4]",Cosmere
1205,Lorain,The Stormlight Archive,Roshar,"Knights Radiant,Edgedancers",Cosmere
1206,Lord Barrington,Mistborn Era 2,Scadrial,NA,Cosmere
1207,Lord Canton,Firstborn,,NA,Independent
1208,Lord Erikell,Mistborn Era 2,Scadrial,NA,Cosmere
1209,Lord Habren,Mistborn Era 1,Scadrial,Luthadel Assembly,Cosmere
1210,Lord Haltep,Firstborn,,NA,Independent
1211,Lord Hue,Mistborn Era 1,Scadrial,Luthadel Assembly,Cosmere
1212,Lord Steming,Mistborn Era 2,Scadrial,NA,Cosmere
1213,Lord Stenet,Mistborn Era 2,Scadrial,NA,Cosmere
1214,Loren,Elantris,Sel,NA,Cosmere
1215,Lorenzo,Dreamer,Earth (Dreamer),NA,Independent
1216,Lorn,Skyward (series),,NA,Cytoverse
1217,Lovestruck,The Reckoners,Earth (Reckoners),NA,Independent
1218,Lua,Legion,Earth (Legion),Aspect,Independent
1219,Luc,The Rithmatist,Earth (Rithmatist),NA,Independent
1220,Luesh,The Stormlight Archive,Roshar,Ghostbloods,Cosmere
1221,Lukel,Elantris,Sel,NA,Cosmere
1222,Lulu,Firefight,Earth (Reckoners),NA,Independent
1223,Lusintia,The Stormlight Archive,Roshar,NA,Cosmere
1224,Lustow,The Stormlight Archive,Roshar,Kholin army,Cosmere
1225,Luten,The Stormlight Archive,Roshar,NA,Cosmere
1226,Lyn,The Stormlight Archive,Roshar,"Knights Radiant,Windrunner,Bridge Four,Kholin army",Cosmere
1227,Lyndel,The Stormlight Archive,Roshar,"Amaram's army,Kaladin's squad",Cosmere
1228,Lyndip,Mistborn Era 2,Scadrial,NA,Cosmere
1229,Lyon,The Stormlight Archive,Roshar,"Tower Guard,Knights Radiant",Cosmere
1230,M-Bot,Skyward (series),Detritus,NA,Cytoverse
1231,Ma,The Stormlight Archive,Roshar,NA,Cosmere
1232,Maare,Elantris,Sel,NA,Cosmere
1233,Mab,Warbreaker,Nalthis,NA,Cosmere
1234,Maben,The Stormlight Archive,Roshar,Diagram,Cosmere
1235,Mabrow Pigherder,The Stormlight Archive,Roshar,NA,Cosmere
1236,Macil,Mistborn Era 2,Scadrial,NA,Cosmere
1237,Macob,The Stormlight Archive,Roshar,NA,Cosmere
1238,Madam Penfor,Mistborn Era 2,Scadrial,NA,Cosmere
1239,Madasa,The Stormlight Archive,Roshar,NA,Cosmere
1240,Magna,Skyward (series),Detritus,NA,Cytoverse
1241,Mrs. Maheras,Legion: Skin Deep,Earth (Legion),NA,Independent
1242,Mai,Elantris,Sel,NA,Cosmere
1243,Maib,The Stormlight Archive,Roshar,NA,Cosmere
1244,Mailey,Mistborn Era 1,Scadrial,NA,Cosmere
1245,Maindew,Mistborn Era 2,Scadrial,NA,Cosmere
1246,Makal,The Stormlight Archive,Roshar,NA,Cosmere
1247,Makepeace Hapshire,Shadows for Silence,Threnody,NA,Cosmere
1248,Makh,The Stormlight Archive,Roshar,NA,Cosmere
